INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
STARLINK-3184,51143,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.0925541724296911,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-2560,48402,PAYLOAD,Non-Polar Inclined,US,LEO,0.0016748680856109588,0.5380010147133434,0.003110160784204826,0.003225444550401077,0.9130434782608603,0.0,0.15384615384615385,0.04203323558162268,0.07826187183033656,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ONEWEB-0316,49102,PAYLOAD,Polar,UK,LEO,0.016229916404814138,0.8918315575849821,0.029018910888339678,0.02958994783194032,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.10995850622406639,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
STARLINK-1521,45768,PAYLOAD,Non-Polar Inclined,US,LEO,0.00043724432323472007,0.5378995433789954,0.0007775401960512067,0.000925562349245527,0.8695652173912976,0.0,0.15384615384615385,0.036656891495601175,0.09566620562471184,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
FLOCK 4S 24,47539,PAYLOAD,Sun-Synchronous,US,LEO,0.0032533942016956113,0.987316083206494,0.0059703979339646215,0.006198463005553375,0.9130434782608603,0.0,0.07692307692307693,0.00032583903551645487,0.0892116182572614,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
STARLINK-3114,49426,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.10027662517289074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
BEIDOU 3M21,44793,PAYLOAD,,PRC,MEO,0.5083372858243907,0.5508878741755454,0.5943184027102829,0.5995119762158524,0.8260869565217348,1.0,0.46153846153846156,0.13000977517106552,0.1833794375288151,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333
STARLINK-5359,54864,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4362252663622526,0.011496487184471412,0.01192012116452572,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.05301982480405717,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
FLOCK 4V 25,46812,PAYLOAD,Sun-Synchronous,US,LEO,0.0003631351159067986,0.986910197869102,0.0007775401960512067,0.0006450889100802154,0.8695652173912976,0.0,0.07692307692307693,0.00032583903551645487,0.08586906408483172,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
SPACEBEE-165,55094,PAYLOAD,Sun-Synchronous,US,LEO,0.0017489772929388664,0.9880263825469304,0.0032767765405015137,0.0033095865821506703,1.0,0.0,0.0,0.0,0.010258183494698016,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0
