INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
ONEWEB-0052,45156,PAYLOAD,Polar,UK,LEO,0.016741269935376765,0.891527143581938,0.029935297547971456,0.030487462837269316,0.8695652173912976,1.0,0.23076923076923078,0.023786249592701206,0.1747349008759797,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5810,55776,PAYLOAD,Polar,US,LEO,0.0065290211655896074,0.7100963977676306,0.011885257282497015,0.012256689291524092,1.0,1.0,0.15384615384615385,0.0469208211143695,0.04552789303826648,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-3449,51745,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.08875057630244351,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
OBJECT T,51841,UNKNOWN,Sun-Synchronous,PRC,LEO,0.004720756506788409,0.9881278538812786,0.008664019327427731,0.00891905536545689,0.956521739130423,1.0,0.07692307692307693,0.006679700228087324,0.08805901337021668,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
KSF1-D,48950,PAYLOAD,Sun-Synchronous,LUXE,LEO,0.0010894053477203958,0.9899543378995432,0.002054927660992474,0.002075503449823302,0.9130434782608603,0.0,0.23076923076923078,0.0013033561420658195,0.040686952512678655,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
GONETS M 14 (M24),44905,PAYLOAD,Polar,CIS,LEO,0.021165589612853503,0.837239979705733,0.03773846880119963,0.037863914287316995,0.8260869565217348,1.0,0.3846153846153847,0.045291625936787226,0.17957584140156754,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
THAICOM 6,39500,PAYLOAD,,THAI,GEO,0.9995775775182306,0.0005073566717402334,0.9900308239149149,0.9996353845290852,0.6086956521739069,1.0,1.0,0.5413815575105898,0.4308437067773167,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666
STARLINK-1538,46071,PAYLOAD,Non-Polar Inclined,US,LEO,0.0004224224817691441,0.5377980720446474,0.0006942323179028632,0.0009536096931620575,0.8695652173912976,0.0,0.15384615384615385,0.04203323558162268,0.1235592438911941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4588,53641,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06708160442600275,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1152,45096,PAYLOAD,Non-Polar Inclined,US,LEO,0.005854627378905561,0.5381024860476914,0.010635639110271862,0.011050653503113256,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.17565698478561548,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
LEMUR 2 ELHAM,44086,PAYLOAD,Sun-Synchronous,US,LEO,0.0002593822256477252,0.9866057838660577,0.0006664630251867485,0.0003646154709149047,0.8260869565217348,0.0,0.07692307692307693,0.0013033561420658195,0.11041954817888427,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ONEWEB-0553,56055,PAYLOAD,Polar,UK,LEO,0.016355902057271596,0.8917300862506342,0.02924106523006859,0.029814326583272564,1.0,1.0,0.23076923076923078,0.023786249592701206,0.04287690179806363,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
CBERS-4,40336,PAYLOAD,Sun-Synchronous,PRC,LEO,0.009641607873362185,0.9978691019786909,0.017466885118436033,0.017922252762663377,0.6086956521739069,1.0,0.07692307692307693,0.32225480612577384,0.3922314430613186,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
